,Bintang,Pengguna,Komen,Tanggal
205,Rated 5 stars out of five stars,liskah meryana,so helpful to get the good food 👍,"April 13, 2019"
206,Rated 5 stars out of five stars,Arifin M. Susanto,"So far, the app works very well","January 21, 2020"
207,Rated 5 stars out of five stars,Eve Ca!n,The best online grocery shopping app 👌,"September 9, 2019"
208,Rated 5 stars out of five stars,Filda Widyaningtyas,Simple and useful app,"October 25, 2019"
209,Rated 5 stars out of five stars,Yumi Ryuki,good app!! helping a lot !!! thankyou,"July 28, 2019"
210,Rated 5 stars out of five stars,Grace Kartawijaya,Great apps! very helpful,"June 24, 2019"
211,Rated 5 stars out of five stars,Kartika Christiananda,"Great experiences in buying cheapest products with good quality. This is my 2nd buying and will be the 3rd, 4th, 5th and so on.","August 17, 2019"
212,Rated 5 stars out of five stars,Alfa Ananda,Really help me as a mom with a baby.,"January 26, 2020"
213,Rated 5 stars out of five stars,Ri Eu,good deal and good quality,"August 2, 2019"
214,Rated 5 stars out of five stars,louise kartika,good quality veggie and fruit,"March 27, 2019"
215,Rated 5 stars out of five stars,Marivi Calaguan,good all in one app for fresh produce shopping,"June 26, 2019"
216,Rated 5 stars out of five stars,Ria R. S.,"As first time user, I'm very satisfied with this app!","September 14, 2019"
217,Rated 2 stars out of five stars,Rina Noviyanti,"There is no time shopping on Sayurbox without issues. Be it payment, be it wrong item delivered, or even missing item from the basket after checked out. Do you value your costumer experience at all?","December 11, 2019"
218,Rated 5 stars out of five stars,Yin Natadhita,Very easy to use :),"May 14, 2019"
219,Rated 5 stars out of five stars,Vera Kusumadewi,I've shopped fruits & veggies here many many times and always satisfied with their good quality.,"March 30, 2019"
220,Rated 5 stars out of five stars,A Google user,Very user friendly!,"March 25, 2019"
221,Rated 5 stars out of five stars,Winda Shabrina Adani,I voted 5 stars just because my boyfriend works here so I want to support him. And he asked me to put a review here.,"February 16, 2020"
222,Rated 5 stars out of five stars,Prily Maulydia,easy to get a good quality products 👍👍👍,"July 28, 2019"
223,Rated 5 stars out of five stars,melie rosita,Easy and saving me from wasteful,"October 2, 2019"
224,Rated 5 stars out of five stars,dini hariyono,"Good job for makin disruptive app for ordering fresh produce and groceries, well done. Keep the price competitive without sacrificing quality of the product if you want to retain your customer","November 28, 2019"
225,Rated 5 stars out of five stars,Frisca Tan,good and user friendly app,"June 1, 2019"
226,Rated 5 stars out of five stars,tituz ok,keep smiling and healthy,"March 24, 2019"
227,Rated 5 stars out of five stars,Ida Rosee,good product.. good price 🥰😘,"July 25, 2019"
228,Rated 5 stars out of five stars,Shot Yen Tan,Good quality of harvest,"January 14, 2020"
229,Rated 5 stars out of five stars,Hermanto Hermada,Easy to use.. excellent..,"April 25, 2019"
230,Rated 5 stars out of five stars,Yessika Dj,the best apps with the best service,"August 15, 2019"
231,Rated 5 stars out of five stars,Soni Prihutomo,Please expand ke Jawa Tengah! Love the app!!,"August 18, 2019"
232,Rated 5 stars out of five stars,regina reeves,Easy to buy something,"November 10, 2019"
233,Rated 5 stars out of five stars,Nova Nadya Anggraeni,easy to use. lengkap!,"March 25, 2019"
234,Rated 5 stars out of five stars,Studio MONEV,Fresh product and good customer service✔️,"May 25, 2019"
235,Rated 5 stars out of five stars,Layla Basari,"the fruits was good condition, and the price was so damn loooooow. gonna be my everyday apps from now on","February 8, 2019"
236,Rated 5 stars out of five stars,Mas Omen,An app that helps a lot,"August 24, 2019"
237,Rated 5 stars out of five stars,YAS Bunny,I have nice experience with this app,"December 15, 2019"
238,Rated 5 stars out of five stars,Rusly lim,Good and fresh,"January 21, 2020"
239,Rated 5 stars out of five stars,Ben Ks,Good shopping apps,"April 22, 2019"
240,Rated 5 stars out of five stars,brida yudhanti,So always great,"February 8, 2020"
241,Rated 5 stars out of five stars,Eka Listiani,easy and fresh,"August 15, 2019"
242,Rated 5 stars out of five stars,Dini Permatasari,love this app,"January 23, 2020"
243,Rated 5 stars out of five stars,Zulfiqar Jatikusuma,very useful apps (Y) love it,"March 17, 2019"
244,Rated 5 stars out of five stars,A Story From The Sky,Fresh and good,"February 4, 2020"
245,Rated 5 stars out of five stars,Fanny Agustinuss,Love this app!,"November 22, 2019"
246,Rated 5 stars out of five stars,cupid bz,"for the busy (read: lazy) generation of this day and age like myself, sayurbox is a godsend! i sit in front of my computer, click some stuff, pay, and within a day or two i have vegetables in front of my doorstep. CRAZY! if i have one possible input, maybe have a filter function for organic, hydropo...
Full Review","August 11, 2019"
247,Rated 5 stars out of five stars,Allen Zhuee,"Recommend seller, Apps perlu di tingkatkan","December 11, 2019"
248,Rated 5 stars out of five stars,Indriantie Wakhyudi,"Good apps, help me in buy good fruit with good price","January 18, 2020"
249,Rated 3 stars out of five stars,Rien Nisa,"First time using sayurbox around 3 years ago when the users was still few. I like the service and quality vegetables and fruit. But now, the quality of the product decreases. In my last 2 orders, i got small and green fruit, and unfresh vegatables. Hopefully, sayurbox can improve the quality","August 12, 2019"
250,Rated 5 stars out of five stars,Fuzna Isnaeniah,"it's so usefull, and i love it","July 4, 2019"
251,Rated 5 stars out of five stars,Fdmulyono Karnodipuro,Healthy spirit of the people.,"January 8, 2020"
252,Rated 5 stars out of five stars,windy 2871,fresh food good quality,"May 22, 2019"
253,Rated 5 stars out of five stars,Rossmi Daslam,Thankyou so .. love this app 😍,"August 10, 2019"
254,Rated 5 stars out of five stars,Michelle Gunawan,Great and recommended,"December 2, 2019"
255,Rated 5 stars out of five stars,lala matthews,I love it. now I don't really have to go anywhere to get fresh food,"July 3, 2019"
256,Rated 3 stars out of five stars,Rio Farizki,Just not having good experience with the apps,"June 19, 2019"
257,Rated 5 stars out of five stars,Tica Mica,Always make me satisfied.. thank you,"January 18, 2020"
258,Rated 1 stars out of five stars,Yulistyo Adi,Customer satisfaction is not part of sayurbox,"October 18, 2019"
259,Rated 5 stars out of five stars,Stella Studio,Cheers for a succesful delivery!,"January 29, 2020"
260,Rated 5 stars out of five stars,Tania Rahendra,The best app for sure. Will recomend this to my famz and friend,"November 9, 2019"
261,Rated 5 stars out of five stars,Alamanda Wiriaatmadja,Superb! Thanks for making my life easier 😘,"November 4, 2019"
262,Rated 5 stars out of five stars,Yohana Laurina,"Helpfull bgt..fresh sayur dan buahnya, packaging aman smp rmh.. thank you so much sayurbox👍🙏🥰","October 21, 2019"
263,Rated 2 stars out of five stars,Jonathan Liu,"In the beginning, everything was fine. I was a happy & repeat customer, excited by the practicality, fruit variety & affordable price offered by Sayurbox. But everything changed in my 4th order. I had trouble with my 1st payment with Jenius. Sayurbox CS response was super slow! Replies just came aft...
Full Review","February 9, 2019"
264,Rated 4 stars out of five stars,Maryuri Septreziera,Please provide address book so i can save more than one drop off location. Right now i have to change the address every time i have to order for my mom or my auntie. It's tedious.,"August 6, 2019"
265,Rated 1 stars out of five stars,Jordy Anggara,"this is my first time reviewing apps and i do it bcoz they DONT HAVE A DECENT CUSTOMER SERVICE. if you got any problem with your shipping (like mine), dont ever waste ur time on them. My ETA was 11-15WIB. asked the CS 3x, 14.00, 15.00, 17.00, never once they knew the whereabouts of my shipping. they...
Full Review","April 9, 2019"
266,Rated 1 stars out of five stars,Sun Mor,"Customer service through their app's chat simple provided template answer but did not really coordinate with their delivery team. My ETA was 1 pm, but the order arrived at 8 pm after 3 complains with 3 different customer officers. The last one finally worked out because I did not cut the conversatio...
Full Review","May 4, 2019"
267,Rated 5 stars out of five stars,Cynthia Rompas,Keep it up,"January 14, 2020"
268,Rated 5 stars out of five stars,febriyanti laksono putri,Cool Love it..,"December 14, 2019"
269,Rated 4 stars out of five stars,Ldb,"the first time i was hesitate to try.. but then my friend bought it to the office and the veggies was fresh so its really worth it.. only some fruits that i experienced is a bit not too good (the watermelon, mangos and papaya)","September 22, 2019"
270,Rated 1 stars out of five stars,pooh pink,"this is my 4times order&get the worst experience with sayurbox, yesterday my order not coming, i chat the customer service at 8pm&they just sent my order at 9pm & come to my home almost midnight at 11pm,my order11 item&only get 9item,they info in paper refund voucher for your next order for 2 item, ...
Full Review","April 8, 2019"
271,Rated 1 stars out of five stars,any setyowati,Very bad customer service and their service. Better u will go to the supermarket and traditional market. U cant choose fruit and vegetables or fish or beef or chicken. Not good quality. And the driver never asking if and only sent the package without confirmation with you. Give the other people.,"November 3, 2018"
272,Rated 5 stars out of five stars,Kanero Gillian,QSXCCOVMB my referral code get disc 30k,"January 9, 2020"
273,Rated 4 stars out of five stars,ika pusparini,"So far, I like to order through their Web rather than application.","June 12, 2019"
274,Rated 5 stars out of five stars,farina rahmawati,love this apps,"January 26, 2020"
275,Rated 5 stars out of five stars,Ruby Marsudi,"Pleasant experience using Sayurbox for weekly groceries for almost a year now. Fresh produce (especially fruits and organic/hydroponic vegetables). Prices are reasonable considering they deliver to my doorstep. Customer Service handled complaints and missing items professionally. Love the 3 days in ...
Full Review","April 4, 2019"
276,Rated 1 stars out of five stars,A Google user,"They didn't deliver what they've promised, products already been paid, yet no delivery. Try to contact them to ask for clarification, got a very slow respond. The worst is the system already auto acknowledged that the products already received which infact haven't.","November 27, 2018"
