,Bintang,Pengguna,Komen,Tanggal
133,Rated 4 stars out of five stars,Irma Martam,sometimes it is very slow to open the page,"April 1, 2019"
134,Rated 5 stars out of five stars,Feby Indriyani,"it is a great apps for working women. fresh veggies fruits, plenty of choice,fast delivery","March 26, 2019"
135,Rated 5 stars out of five stars,astrid siska,Great apps..thanks👍😊,"December 14, 2019"
136,Rated 5 stars out of five stars,Rahmi Kurnia Sari,"Very helpful for everyone, farmer and customer, super recommended!","September 8, 2019"
137,Rated 5 stars out of five stars,Rafieza Roslan,Sayurbox is a good app where I can bought fresh vegetables and fruits. Very recommended.,"April 8, 2019"
138,Rated 5 stars out of five stars,Nilesh Kumar,"Good, fresh fruits and vegetables. Easy ordering and delivery experience. Keep it up!","August 28, 2019"
139,Rated 5 stars out of five stars,rani amas,"Make grocery shopping easier! Few taps only and your order will be delivered asap! (there're 3 days delivery choices) Have some bad experience/(unfortunately)bad groceries? No worries! tell them via email/ig/whatsapp, soon you will get not only a nice response but also shopping voucher as a return, ...
Full Review","March 17, 2019"
140,Rated 5 stars out of five stars,Rizky Nurkhaerani,Good product good service,"November 10, 2019"
141,Rated 5 stars out of five stars,Rohani Sinambela,Great app. Fast and secure,"September 12, 2019"
142,Rated 5 stars out of five stars,Syenit Enita,"Very helping, no plastic package, i love it!","September 8, 2019"
143,Rated 4 stars out of five stars,Julia Herlina,"love the apps, do not have to go but can have fresh veggies delivered","March 26, 2019"
144,Rated 5 stars out of five stars,Prima Anindratia,"The best...effective and efficient, very helpful..","September 15, 2019"
145,Rated 5 stars out of five stars,Amelia Jesslyn,Awesome and excellent service and quality,"October 7, 2019"
146,Rated 5 stars out of five stars,LNio,"10/10 excellent products, excellent service and fast delivery","May 17, 2019"
147,Rated 5 stars out of five stars,endahtrikusumawati,delivered on time. wonderful packaging. Love it,"May 28, 2019"
148,Rated 3 stars out of five stars,Sandra,i hope you fix the customer service chat section. my chat didn't get reply at all,"February 2, 2019"
149,Rated 5 stars out of five stars,rizano bunai,"great app, win win solution for farmers to sell their product and vendor to develop this app. what are u waiting for? click order, buy, paid and your fruit and vegetable will delivery to you. you are what you eat.","March 10, 2019"
150,Rated 5 stars out of five stars,Diah Rahmaningrum,"Very helpful for stay at home mom ,but I hope ,is there any ""cash on delivery"" option for payment methods. Thanks you 😊","November 15, 2019"
151,Rated 5 stars out of five stars,Dewinta RKW,"Excellent service, price and quality of the products","April 20, 2019"
152,Rated 5 stars out of five stars,Dar Wati,First order and so far satisfied with the product.,"July 5, 2019"
153,Rated 5 stars out of five stars,risma handayani,"nice applocation, very help to get good fruits and vegetables easily","August 15, 2019"
154,Rated 5 stars out of five stars,Windy Agnestien,Fresh items deliver with plastic-free packaging. Love it,"August 31, 2019"
155,Rated 3 stars out of five stars,Natalia Komalasari,Error occur everyday without any reason.,"April 20, 2019"
156,Rated 5 stars out of five stars,Yusuf Pambudi,Good quality of the product and arrived on time,"September 5, 2019"
157,Rated 5 stars out of five stars,Cicilia Ayu,"Good app, easy to use and really helpful","May 4, 2019"
158,Rated 5 stars out of five stars,Florentina Alexandra,Nice app and easy operating. Helo us to get our fresh vegies and fruits,"March 25, 2019"
159,Rated 5 stars out of five stars,sugeng sugiarto,Simplest way to get your healthy vegs & fruits,"December 1, 2019"
160,Rated 5 stars out of five stars,Susy Tan,"fresh, easy and a lot of option","June 27, 2019"
161,Rated 5 stars out of five stars,Dennis Paramita,fresh products with reasonable price and yes free delivery with minimum amount,"March 25, 2019"
162,Rated 4 stars out of five stars,anisa nurkumalasari,"Best values, best shipments and best fruits veggies😋","September 15, 2019"
163,Rated 2 stars out of five stars,Harris Yonatan,Customer service did not reply at all. Some chosen products suddenly disappeared during checkout. No confirmation if you have received the payment.,"September 10, 2019"
164,Rated 5 stars out of five stars,Nabila Kharimah Vedy,Great application for supporting local products and farmers!,"September 10, 2019"
165,Rated 5 stars out of five stars,Mirza Annisa Izati,helpful app to order quality local fruits and vegetables,"March 25, 2019"
166,Rated 5 stars out of five stars,Valentina Purba,Just Wow. Many fruits are cheaper here than in traditional market and supermarket. And you can choose packaging without PLASTIC. Good Idea!,"September 4, 2019"
167,Rated 5 stars out of five stars,Yiska Kumaladewi,Excellent service. Reliable delivery. Good quality.,"September 12, 2019"
168,Rated 1 stars out of five stars,Anin Dya,"Terrible, after first transaction, i uninstall the app...better go to traditional market...","January 20, 2019"
169,Rated 5 stars out of five stars,Meylina Dinar,Delivery on time. Product in fresh condition,"June 26, 2019"
170,Rated 5 stars out of five stars,Dee Dee,hassle free shopping for fresh products,"March 25, 2019"
171,Rated 5 stars out of five stars,Nur Kamari Fitri,Thankyou.. Great app,"November 15, 2019"
172,Rated 5 stars out of five stars,Miranti Arifin,"Fresh fruits, excellent choice of veggies, thumbs up","November 26, 2018"
173,Rated 5 stars out of five stars,Nadzifah Zubair,easy fast great variety of products 👌,"May 12, 2019"
174,Rated 5 stars out of five stars,Firda Anwar,They never failed to amaze me with their fresh produces and often comes with surprise gift. Sayurbox are my go to apps for fresh fruit and veggies 👍,"November 18, 2018"
175,Rated 5 stars out of five stars,Ping Pribadi,Great supply and quality. I keep looking for new product too.,"December 4, 2019"
176,Rated 5 stars out of five stars,muslimah tri,great quality & in time delivery. thanks,"July 9, 2019"
177,Rated 5 stars out of five stars,Bernadet Krisma,"good application to order fruit, vegetables, and others","April 4, 2019"
178,Rated 5 stars out of five stars,Elvita Dewi,Very helpful and the quality product are very good,"September 4, 2019"
179,Rated 5 stars out of five stars,elsa restriana,Very useful app,"February 3, 2020"
180,Rated 5 stars out of five stars,Dila Arwati,Helpful and easy to use,"March 22, 2019"
181,Rated 1 stars out of five stars,Alan Alaidin,"(Nov 2019) , tried sayurbox 2 times. Both BAD. Not worth the savings. BAD quality of fruits. Another app that should be AVOIDED. (Be careful with what you EAT... you deserve more) . If you are into quality and freshness, sayurbox is OUT.","December 3, 2019"
182,Rated 5 stars out of five stars,Hexa Martinus Barus,this is an amazing app!!!!,"February 12, 2020"
183,Rated 5 stars out of five stars,Labora Aruan,"usefull,time efisiency,please maintain price n quality","March 31, 2019"
184,Rated 5 stars out of five stars,Hilman Sombrero,"recommended, reliable..super!","September 23, 2019"
185,Rated 5 stars out of five stars,sofia cia,Good. Thanks sayurbox. Thank for free papaya,"February 29, 2020"
186,Rated 5 stars out of five stars,Natalia Chandra,very practical app & fast response👍,"March 25, 2019"
187,Rated 5 stars out of five stars,Euis Syarifah,"Good service, good fresh, excellent..","August 30, 2019"
188,Rated 5 stars out of five stars,Fabiola Siregar,Helping my role as working mom easier. :),"March 8, 2020"
189,Rated 5 stars out of five stars,alvia hgarra,good but some price is expansive even with discount,"August 18, 2019"
190,Rated 5 stars out of five stars,pato firmansyah,helpfull apps for buying fresh fruits and vegie from local farmer,"July 4, 2019"
191,Rated 5 stars out of five stars,Andi Hakim,Very excellent service and products quality,"August 27, 2019"
192,Rated 5 stars out of five stars,Nasya Angelica,Service is awesome & great usage of order,"August 29, 2019"
193,Rated 5 stars out of five stars,susi soedirdjo,A helpful app,"January 19, 2020"
194,Rated 5 stars out of five stars,Dhita Prima Lestari,Recomended online fresh market I thing...,"February 27, 2020"
195,Rated 1 stars out of five stars,Ardian Sapoetro,"First time experience = really bad. Missing item without confirmation at all. After complaining, they give us voucher with the value of missing item, but I need to pay extra delivery cost. ???!!!","January 30, 2019"
196,Rated 5 stars out of five stars,Silver Luna,Love the service so far.,"February 9, 2020"
197,Rated 5 stars out of five stars,Rufina Indraswari,"sayur box always gives excellent service,ontime delivery good quality of fruits,veggies,and other foods as well. the apps just a simply,useful to pick goods we gonna buy..","March 17, 2019"
198,Rated 5 stars out of five stars,Yuri,great quality and service,"October 11, 2019"
199,Rated 5 stars out of five stars,Simfonia Nugroho,helpful apps for shopping..,"June 11, 2019"
200,Rated 5 stars out of five stars,ika irawati,Having organic and healthy stuff in an easy way. Good job Sayurbox!,"April 8, 2019"
201,Rated 5 stars out of five stars,amelia ferrizni,The delivery was on time and the producs are good,"September 21, 2019"
202,Rated 5 stars out of five stars,Meidar,Great app to start our healthy life style.,"August 29, 2019"
203,Rated 5 stars out of five stars,dewi antika,buying fresh product now become fun and easy. thanks sayurbox for helping working mom like me.,"March 25, 2019"
204,Rated 5 stars out of five stars,astrid indrajati,Love it. Helps a lot for working mom 😊,"October 25, 2019"
